Team,Constructor,Chassis,Power Unit,Engine Supplier,Engine Type,Fuel System,Cylinders,Capacity,Configuration,RPM Limit,Max Power,Hybrid System,Energy Recovery,Battery Capacity,Total Power Output,Gearbox,Number of Gears,Clutch Type,Weight,Fuel Tank Capacity,Tire Supplier,Front Wing Configuration,Rear Wing Configuration,DRS,Suspension Front,Suspension Rear,Brakes,Brake Material,Wheelbase,Track Front,Track Rear
McLaren,McLaren Formula 1 Team,MCL39,Mercedes-AMG F1 M15 E Performance,Mercedes,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,McLaren 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Mercedes,Mercedes-AMG Petronas F1 Team,W16,Mercedes-AMG F1 M15 E Performance,Mercedes,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Mercedes 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Red Bull Racing,Oracle Red Bull Racing,RB21,Honda RBPT,Honda,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Red Bull 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Pull-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Ferrari,Scuderia Ferrari,SF-25,Ferrari 067,Ferrari,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Ferrari 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Pull-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Aston Martin,Aston Martin Aramco F1 Team,AMR25,Mercedes-AMG F1 M15 E Performance,Mercedes,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Aston Martin 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Pull-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Alpine,BWT Alpine F1 Team,A525,Renault E-Tech RE25,Renault,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Alpine 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Williams,Williams Racing,FW47,Mercedes-AMG F1 M15 E Performance,Mercedes,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Williams 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Racing Bulls,Visa Cash App RB F1 Team,VCARB 02,Honda RBPT,Honda,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Racing Bulls 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Haas,MoneyGram Haas F1 Team,VF-25,Ferrari 067,Ferrari,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Haas 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
Kick Sauber,Stake F1 Team Kick Sauber,C45,Ferrari 067,Ferrari,V6 Turbocharged Hybrid,Direct Injection,6,1600cc,90-degree V6,15000 rpm,~850 hp,MGU-K & MGU-H,Kinetic & Heat,4 MJ,~1050 hp,Sauber 8-speed,8,Multi-plate,798 kg,110 kg,Pirelli,Adjustable Multi-element,Adjustable Multi-element,Yes,Push-rod with torsion bars,Push-rod with torsion bars,Carbon-Carbon,Carbon disc & pads,3600 mm,1600 mm,1450 mm
